short_code,Colorfulness_Picture,Saturation_Picture,Contrast_Picture,Clarity_Picture,Brightness_Picture,Warm Hue_Picture,ROT_Picture,Diagonal_dominance_Picture,Physical_ver_Picture,Physical_Hor_Picture,Color_balance_vertical_Picture,Color_balance_horizontal_Picture,Texture_difference_Picture,Size_difference_Picture,Color_difference_Picture,Depth of field_hue_Picture,Depth of field_saturation_Picture,Depth of field_value_Picture
203.0,32.0,83.98,50.03,1.0,50.74,0.39,127.31151645559105,11.31370849898476,69.0,85.0,97.41,85.8,0.10586165138237644,0.395896,64.7660014555032,1.7125435540069738,0.5075075075075097,0.2148309705561606
204.0,23.0,56.97,53.91,1.0,88.1,0.6,119.90227502243468,34.648232278140824,61.0,110.0,106.39,110.01,0.11281702954468972,0.525428,50.950671586336775,0.6594257650170003,0.31062410671748447,0.26233766233766265
205.0,26.0,60.45,61.05,1.0,105.82,0.8,178.5960681413663,7.778174593052023,35.0,46.0,150.11,97.32,0.10191416804542319,0.474776,68.33795579148703,0.9938946832866963,0.09936708860759466,3.94736842105258
206.0,65.0,88.98,92.02,1.0,124.37,0.22,66.47472368418607,65.05382386916237,51.0,143.0,231.56,149.36,0.09377670419039788,0.421572265625,74.7871369834067,0.030793735067693014,1.0838852097130232,0.08643216080402018
207.0,13.0,27.37,78.97,0.98,96.63,0.79,126.38433447227548,109.60155108391486,58.0,213.0,183.97,138.99,0.009416408445575966,0.45825102880658436,25.169871138165053,0.47546941247728636,1.2602659652199335,7.233870967742253
208.0,12.0,14.78,104.37,0.99,134.57,0.58,211.66535432664034,1.414213562373095,18.0,16.0,259.39,48.93,0.08193176751702509,0.204384,0.5193891631942871,0.05188412357134762,0.3050418839892524,0.18259385665529212
209.0,14.0,14.38,100.69,1.0,140.67,0.55,135.1353231229924,18.384776310850235,59.0,85.0,261.35,26.67,0.08232789238948442,0.23552,5.090893480084587,0.3169807507704745,0.5075590283675895,0.7234567901234583
210.0,12.0,13.17,100.79,0.99,138.93,0.56,156.09576832473357,51.61879502661797,26.0,99.0,249.56,70.5,0.10854694620649272,0.241648,17.442770109220586,0.2063008130081301,0.5658376349131862,0.17040149393090642
211.0,27.0,122.91,52.66,1.0,49.3,0.66,110.4943437466371,37.476659402887016,80.0,133.0,108.05,86.11,0.05288521657428892,0.33406721536351164,33.450668549448956,0.3271908788758467,7.1333333333332485,0.32594936708860806
212.0,73.0,96.79,55.24,1.0,95.38,0.64,124.91107948367824,22.749299592463316,109.0,77.0,144.84,86.76,0.06521404765779204,0.3557960557960558,23.220447940786663,3.988372093023268,0.26958224543080966,0.03346720214190177
213.0,18.0,39.28,63.12,1.0,105.41,0.43,150.01370307778924,149.6662249027035,278.5,67.0,144.5,126.04,0.17746176127806856,0.07879286694101509,22.36773924213838,0.18122834992027273,0.11083123425692666,0.34645669291338477
214.0,15.0,33.82,62.98,1.0,109.0,0.39,136.69958953039244,129.85217142446683,241.5,58.0,155.82,103.71,0.12024123984491217,0.18399862825788751,58.70318140664367,0.42289430222956254,0.2696850393700791,6.777777777778542
215.0,15.0,34.73,42.25,1.0,125.05,0.53,127.41969148360774,82.45080344692695,169.5,53.0,93.52,91.12,0.12236743126855179,0.20065843621399176,19.721038326686774,0.6143589743589746,0.22836166924265852,0.14866828087166983
216.0,13.0,30.41,50.48,1.0,104.19,0.47,218.2753103562359,36.43417245417974,53.5,2.0,136.54,43.04,0.08891187791809696,0.21642318244170097,48.176357059527334,0.7513835674755215,8.604395604395553,0.7009345794392482
217.0,17.0,42.0,40.8,1.0,81.89,0.43,213.41066306797117,32.19349731721307,53.5,8.0,71.02,64.2,0.09615726809813495,0.22344307270233196,69.17046345358727,0.5532418001525554,0.35938590369853496,0.6475409836065518
